Disease,Informational_Medications
Fungal infection,"Antifungal creams (Clotrimazole), Virgin coconut oil (topical)"
Allergy,"Antihistamines (Loratadine, Cetirizine), Lagundi tea"
GERD,"Antacids, Banaba leaf tea, Elevate head while sleeping"
Chronic cholestasis,"Vitamin supplements, Low-fat diet"
Drug Reaction,"Discontinue suspected drug, Calamansi water (detox), Consult physician"
Peptic ulcer diseae,"Antacids, Omeprazole, Ginger tea"
AIDS,"Antiretroviral therapy (ARV), Malunggay supplements (immune support)"
Diabetes,"Metformin, Insulin (if needed), Ampalaya (bitter melon) supplements"
Gastroenteritis,"Oral rehydration solution, Probiotics, Salabat (ginger tea)"
Bronchial Asthma,"Inhalers (Salbutamol), Lagundi syrup"
Hypertension,"Amlodipine, Garlic supplements, Celery juice"
Migraine,"Paracetamol, Ibuprofen, Cold compress"
Cervical spondylosis,"Pain relievers, Stretching exercises, Warm compress"
Paralysis (brain hemorrhage),"Physical therapy, Stroke rehab meds (as prescribed)"
Jaundice,"Hydration, Avoid fatty foods, Calamansi juice"
Malaria,"Chloroquine (as prescribed), Hydration"
Chicken pox,"Calamine lotion, Oatmeal baths, Antihistamines"
Dengue,"Paracetamol, Tawa-tawa tea (traditional), Hydration"
Typhoid,"Antibiotics (Ciprofloxacin), Rest, Hydration"
hepatitis A,"Rest, Hydration, Balanced diet"
Hepatitis B,"Antiviral meds (as prescribed), Healthy diet"
Hepatitis C,"Antiviral treatment (as prescribed), Liver-friendly diet"
Hepatitis D,"Medical supervision, Avoid alcohol"
Hepatitis E,"Hydration, Avoid fatty foods"
Alcoholic hepatitis,"Stop alcohol, Healthy diet, Vitamin B complex"
Tuberculosis,"Rifampicin, Isoniazid (as prescribed), Good nutrition"
Common Cold,"Decongestants, Salabat, Rest"
Pneumonia,"Antibiotics (as prescribed), Hydration, Rest"
Dimorphic hemmorhoids(piles),"Fiber-rich diet, Sitz bath"
Heart attack,"Aspirin (emergency), Nitro tablets (if prescribed), Emergency medical care"
Varicose veins,"Compression stockings, Walking, Leg elevation"
Hypothyroidism,Levothyroxine (as prescribed)
Hyperthyroidism,"Beta-blockers (as prescribed), Radioactive iodine (if needed)"
Hypoglycemia,"Sugar tablets, Fruit juice"
Osteoarthristis,"Paracetamol, Fish oil, Glucosamine supplements"
Arthritis,"NSAIDs, Ginger compress"
(vertigo) Paroymsal  Positional Vertigo,"Vestibular exercises, Rest"
Acne,"Benzoyl peroxide cream, Calamansi application (mild), Avoid oily food"
Urinary tract infection,"Antibiotics (as prescribed), Cranberry juice, Buko juice"
Psoriasis,"Moisturizers, Oatmeal bath, Vitamin D supplements"
Impetigo,"Antibiotic ointment, Gentle cleansing"
